route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R090400188000000,5060001001128,西那須野駅東口～黒羽郵便局前,西那須野駅～黒羽郵便局前,,3,,,,R090400188
R090400188010000,5060001001128,西那須野駅東口～黒羽郵便局前,西那須野駅～黒羽郵便局前,,3,,,,R090400188
R090400152000000,5060001001128,西那須野駅東口～赤十字病院・福祉大～五峰の湯,西那須野駅～赤・福～五峰の湯,,3,,,,R090400152
R090400189000000,5060001001128,西那須野駅東口～赤十字病院～黒羽郵便局前,西那須野駅～赤十字～黒羽郵便局,,3,,,,R090400189
R090400190000000,5060001001128,西那須野駅東口～大田原中学校前,西那須野駅～大田原中学校前,,3,,,,R090400190
R090400190010000,5060001001128,西那須野駅東口～大田原中学校前,西那須野駅～大田原中学校前,,3,,,,R090400190
R090400156000000,5060001001128,西那須野駅東口～那須赤十字病院,西那須野駅～那須赤十字病院,,3,,,,R090400156
R090400156010000,5060001001128,西那須野駅東口～那須赤十字病院,西那須野駅～那須赤十字病院,,3,,,,R090400156
R090400180000000,5060001001128,［１９７］,石橋駅～おもちゃ～獨協医大病院,,3,,,,R090400180
R090400180010000,5060001001128,［１９７］,石橋駅～おもちゃ～獨協医大病院,,3,,,,R090400180
R090400212000000,5060001001128,,石橋駅～真岡営業所,,3,,,,R090400212
R090400212010000,5060001001128,,石橋駅～真岡営業所,,3,,,,R090400212
R090400213000000,5060001001128,石橋駅～真岡女子高校～真岡営業所,石橋駅～真岡女子校～真岡営業所,,3,,,,R090400213
R090400213010000,5060001001128,石橋駅～真岡女子高校～真岡営業所,石橋駅～真岡女子校～真岡営業所,,3,,,,R090400213
R090400157000000,5060001001128,大田原市役所～黒羽郵便局前・黒羽高校～五峰の湯,大田原市役所～黒・黒～五峰の湯,,3,,,,R090400157
R090400157010000,5060001001128,大田原市役所～黒羽郵便局前・黒羽高校～五峰の湯,大田原市役所～黒・黒～五峰の湯,,3,,,,R090400157
R090400191000000,5060001001128,,大田原市役所～黒羽郵便局前,,3,,,,R090400191
R090400102000000,5060001001128,,栃木駅～倭町～国学院,,3,,,,R090400102
R090400102010000,5060001001128,,栃木駅～倭町～国学院,,3,,,,R090400102
R090400176010000,5060001001128,那須ロープウェイ～共和大学～那須塩原駅西口,那須ＲＷ～共和大学～那須塩原駅,,3,,,,R090400176
R090400176020000,5060001001128,那須ロープウェイ～共和大学～那須塩原駅西口,那須ＲＷ～共和大学～那須塩原駅,,3,,,,R090400176
R090400176030000,5060001001128,那須ロープウェイ～共和大学～那須塩原駅西口,那須ＲＷ～共和大学～那須塩原駅,,3,,,,R090400176
R090400160010000,5060001001128,那須塩原駅西口～共和大学～那須ロープウェイ,那須塩原駅～共和大学～那須ＲＷ,,3,,,,R090400160
R090400160020000,5060001001128,那須塩原駅西口～共和大学～那須ロープウェイ,那須塩原駅～共和大学～那須ＲＷ,,3,,,,R090400160
R090400160030000,5060001001128,那須塩原駅西口～共和大学～那須ロープウェイ,那須塩原駅～共和大学～那須ＲＷ,,3,,,,R090400160
R090400161040000,5060001001128,那須塩原駅西口～黒磯駅西口～那須ロープウェイ,那須塩原駅～黒磯駅～那須ＲＷ,,3,,,,R090400161
R090400161050000,5060001001128,那須塩原駅西口～黒磯駅西口～那須ロープウェイ,那須塩原駅～黒磯駅～那須ＲＷ,,3,,,,R090400161
R090400162000000,5060001001128,那須塩原駅西口～黒磯駅西口～那須湯本温泉,那須塩原駅～黒磯駅～那須湯本,,3,,,,R090400162
R090400162010000,5060001001128,那須塩原駅西口～黒磯駅西口～那須湯本温泉,那須塩原駅～黒磯駅～那須湯本,,3,,,,R090400162
R090400163000000,5060001001128,那須塩原駅西口～黒磯駅西口～板室温泉,那須塩原駅～黒磯駅～板室温泉,,3,,,,R090400163
R090400163010000,5060001001128,那須塩原駅西口～黒磯駅西口～板室温泉,那須塩原駅～黒磯駅～板室温泉,,3,,,,R090400163
R090400164010000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164030000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164050000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164070000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
R090400164020000,5060001001128,那須塩原駅西口～板室温泉～那須ハイランドパーク,那須塩原駅～板室温泉～那須ＨＰ,,3,,,,R090400164
